value,B.Code,table,field,issue_addressed,addressed_by_whom
Zero-tillage planter,AC0025,Plant.Out,Plant.Method,FALSE,""
Hand planter,AF0002/LM0075.3/LM0108,Plant.Out,Plant.Method,FALSE,""
hand-hoe  planting holes,JS0216,Plant.Out,Plant.Method,FALSE,""
25,CJ0013/CJ0006,Plant.Out,Plant.Density.Unit,FALSE,""
45,CJ0013,Plant.Out,Plant.Density.Unit,FALSE,""
seeds/ha,NN0432/NM0046,Plant.Out,Plant.Density.Unit,FALSE,""
plants/m3,CJ0078,Plant.Out,Plant.Density.Unit,FALSE,""
plants/m4,CJ0078,Plant.Out,Plant.Density.Unit,FALSE,""
seeds/m ,NM0061/NM0062/NM0076,Plant.Out,Plant.Density.Unit,FALSE,""
plants/m ,NM0068,Plant.Out,Plant.Density.Unit,FALSE,""
seeds/ha ,NM0068,Plant.Out,Plant.Density.Unit,FALSE,""
50,HK0306.1/HK0306.2,Plant.Out,Plant.Density.Unit,FALSE,""
hills/ha,NM0093/NN0067/NN0070.1/NN0070,Plant.Out,Plant.Density.Unit,FALSE,""
75,CJ0006,Plant.Out,Plant.Density.Unit,FALSE,""
40,CJ0007,Plant.Out,Plant.Density.Unit,FALSE,""
20,CJ0007,Plant.Out,Plant.Density.Unit,FALSE,""
Planter,NN0435,Plant.Out,Plant.Mechanization,FALSE,""
60000,CJ0091,Plant.Out,Plant.Mechanization,FALSE,""
2.4,CJ0091,Plant.Out,Plant.Mechanization,FALSE,""
uu,NM0071,Plant.Out,Plant.Mechanization,FALSE,""
160000,HK0306.1/HK0306.2,Plant.Out,Plant.Mechanization,FALSE,""
215000,CJ0006,Plant.Out,Plant.Mechanization,FALSE,""
2.5,CJ0006,Plant.Out,Plant.Mechanization,FALSE,""
53333,CJ0006,Plant.Out,Plant.Mechanization,FALSE,""
20,CJ0007,Plant.Out,Plant.Mechanization,FALSE,""
15,CJ0007,Plant.Out,Plant.Mechanization,FALSE,""
30,CJ0007,Plant.Out,Plant.Mechanization,FALSE,""
Yes,CJ0091,Plant.Out,Plant.Intercrop,FALSE,""
